1	56
2	38
3	29
4	54
5	19
6	32
7	21
8	23
9	21
10	51
11	68
12	58
13	11
14	60
15	21
16	48
17	22
18	4
19	7
20	25
21	48
22	12
23	13
24	34
25	10
26	33
27	19
28	47
29	12
30	7
31	27
32	2
33	14
34	4
35	51
36	12
37	15
38	64
39	58
40	63
41	49
42	9
43	38
44	54
45	11
46	16
47	43
48	24
49	18
50	42
51	28
52	58
53	31
54	3
55	62
56	19
57	57
58	46
59	61
60	20
61	61
62	42
63	19
64	2
65	50
66	43
67	11
68	35
69	1
70	34
71	26
72	41
73	60
74	42
75	66
76	47
77	13
78	52
79	38
80	65
81	37
82	46
83	23
84	10
85	22
86	56
87	16
88	20
89	52
90	26
91	61
92	55
93	5
94	6
95	4
96	61
97	12
98	59
99	36
100	49
101	56
102	14
103	30
104	52
105	26
106	36
107	59
108	48
109	55
110	14
111	60
112	29
113	35
114	37
115	24
116	18
117	45
118	42
119	22
120	46
121	50
122	53
123	53
124	15
125	27
126	33
127	5
128	43
129	47
130	28
131	25
132	7
133	31
134	35
135	53
136	5
137	14
138	45
139	32
140	10
141	1
142	28
143	52
144	58
145	13
146	60
147	44
148	62
149	38
150	29
151	1
152	53
153	8
154	39
155	31
156	55
157	54
158	55
159	62
160	22
161	49
162	47
163	55
164	41
165	11
166	20
167	15
168	3
169	45
170	4
171	11
172	59
173	36
174	1
175	17
176	25
177	7
178	54
179	48
180	53
181	38
182	64
183	35
184	62
185	24
186	34
187	31
188	17
189	27
190	46
191	49
192	47
193	65
194	54
195	30
196	62
197	11
198	43
199	20
200	53
201	21
202	41
203	6
204	25
205	29
206	54
207	21
208	20
209	46
210	24
211	35
212	23
213	60
214	28
215	22
216	17
217	39
218	25
219	49
220	51
221	25
222	31
223	9
224	16
225	41
226	31
227	14
228	24
229	25
230	31
231	22
232	65
233	26
234	24
235	15
236	17
237	29
238	53
239	8
240	36
241	49
242	28
243	5
244	10
245	43
246	25
247	64
248	61
249	15
250	15
251	2
252	57
253	49
254	12
255	5
256	21
257	37
258	22
259	54
260	46
261	13
262	63
263	44
264	26
265	33
266	3
267	27
268	40
269	33
270	57
271	41
272	38
273	25
274	60
275	37
276	56
277	36
278	21
279	49
280	16
281	34
282	38
283	34
284	17
285	37
286	52
287	62
288	31
289	21
290	13
291	26
292	46
293	51
294	18
295	40
296	54
297	52
298	50
299	54
300	3
301	60
302	43
303	59
304	10
305	49
306	11
307	18
308	3
309	54
310	58
311	24
312	12
313	16
314	4
315	4
316	28
317	28
318	35
319	2
320	57
321	40
322	36
323	17
324	26
325	25
326	4
327	47
328	65
329	32
330	45
331	23
332	35
333	44
334	56
335	6
336	23
337	26
338	19
339	13
340	40
341	18
342	57
343	48
344	5
345	32
346	20
347	5
348	45
349	50
350	33
351	55
352	22
353	17
354	15
355	1
356	16
357	24
358	42
359	1
360	47
361	11
362	47
363	50
364	54
365	48
366	62
367	38
368	20
369	39
370	67
371	3
372	53
373	26
374	16
375	46
376	53
377	52
378	40
379	58
380	44
381	18
382	45
383	33
384	18
385	4
386	53
387	9
388	18
389	29
390	48
391	1
392	37
393	19
394	6
395	3
396	12
397	57
398	2
399	29
400	23
401	22
402	29
403	31
404	4
405	43
406	27
407	17
408	36
409	41
410	34
411	24
412	38
413	13
414	66
415	66
416	23
417	7
418	39
419	14
420	27
421	63
422	61
423	63
424	2
425	34
426	8
427	23
428	30
429	7
430	23
431	51
432	37
433	60
434	53
435	58
436	40
437	6
438	39
439	6
440	33
441	66
442	33
443	44
444	61
445	55
446	46
447	16
448	32
449	52
450	40
451	14
452	57
453	34
454	56
455	30
456	8
457	36
458	50
459	27
460	46
461	11
462	47
463	6
464	5
465	2
466	23
467	48
468	30
469	11
470	2
471	40
472	67
473	30
474	28
475	56
476	10
477	13
478	59
479	59
480	28
481	19
482	44
483	44
484	43
485	35
486	2
487	32
488	14
489	46
490	42
491	14
492	29
493	45
494	52
495	5
496	41
497	9
498	37
499	16
500	57
501	32
502	28
503	11
504	7
505	49
506	50
507	23
508	36
509	14
510	55
511	43
512	42
513	31
514	46
515	13
516	59
517	1
518	15
519	17
520	19
521	13
522	38
523	4
524	11
525	64
526	10
527	59
528	28
529	30
530	15
531	18
532	55
533	6
534	33
535	57
536	49
537	39
538	56
539	59
540	20
541	35
542	8
543	32
544	2
545	37
546	28
547	42
548	29
549	39
550	44
551	16
552	41
553	21
554	9
555	32
556	8
557	6
558	10
559	19
560	60
561	12
562	9
563	39
564	56
565	32
566	30
567	17
568	41
569	39
570	62
571	19
572	51
573	16
574	33
575	17
576	9
577	36
578	27
579	7
580	8
581	22
582	38
583	63
584	8
585	52
586	13
587	21
588	20
589	8
590	45
591	62
592	12
593	44
594	12
595	62
596	50
597	2
598	9
599	35
600	63
601	9
602	27
603	19
604	8
605	37
606	10
607	5
608	34
609	61
610	44
611	45
612	60
613	63
614	3
615	26
616	18
617	47
618	58
619	39
620	41
621	45
622	7
623	62
624	41
625	1
626	59
627	10
628	9
629	51
630	15
631	34
632	51
633	22
634	30
635	58
636	24
637	8
638	40
639	61
640	31
641	51
642	39
643	30
644	20
645	42
646	1
647	48
648	55
649	57
650	51
651	5
652	42
